_id,order,created_at,created_by,updated_at,updated_by,activated_at,name.en,description.en,category,button_label,type,phrase_feed.en,url,url_target,points,featured,customers,completions,earned,last_completed_at,criteria.0.action,criteria.0.threshold,criteria.0.phrase_action.en,starts_at,ends_at
5e58ccd22cf1905a748b463e,100,2020-02-28T08:18:26.352Z,100000140,2021-04-05T00:55:44.021Z,100000607,2020-02-28T08:18:39.001Z,Joined the Program ,Welcome Gift for joining the loyalty program,,[  ],custom,Loyalty account created,,_self,50,FALSE,565921,565922,28433350,2022-08-08T09:49:45.964Z,dummy,1,  ,,
5e81c0432aaf8181a700000b,100,2020-03-30T09:47:47.935Z,100000140,2021-04-12T02:55:20.233Z,100000607,2020-03-30T09:47:53.302Z,Complete your profile,Complete your profile,,[  ],custom,,https://antavo.com/career/,_top,50,FALSE,28579,28579,1513300,2022-08-05T13:58:11.840Z,profile_completed,1,Complete profile,,
5ea68d90b377830a00000070,100,2020-04-27T07:45:20.724Z,100000140,2022-04-06T05:11:57.234Z,100001330,2020-04-27T07:45:36.247Z,Earn bonus +150 points on your next purchase!,Earn bonus +150 points on your next purchase!,,[  ],custom,Bonus for second purchase,https://antavo.com/career/,_top,150,FALSE,111790,112095,21028350,2022-08-08T09:43:55.091Z,dummy,1, ,,
5f8417903f4cfd120c8b458f,100,2020-10-12T08:45:04.851Z,24303,2021-05-02T23:13:48.202Z,100000607,2020-10-12T08:49:35.248Z,Complete your referral with a purchase ,Complete your referral with a purchase  - Referee Points,,[  ],custom,Complete your referral with a purchase - Referee Points,https://antavo.com/career/,_top,100,FALSE,12316,13285,1336800,2022-08-06T00:55:24.929Z,dummy,1, ,,
6242aa0bdebd8b2ee87c3631,100,2022-03-29T06:41:15.727Z,100001233,2022-05-06T09:50:42.510Z,100001330,2022-03-29T06:41:40.520Z,Redeem a Reward,,,[  ],custom,Redeemed a Reward during Antavo+ Challenge,,_self,0,FALSE,85,85,64,2022-05-06T09:46:18.353Z,reward,1,Redeemed at least one Reward during Antavo+ Challenge period,2022-05-03T15:50:00.000Z,2022-05-07T15:42:00.000Z
6242aa6a2905fe804038a9bc,100,2022-03-29T06:42:50.576Z,100001233,2022-05-06T08:43:23.260Z,100001233,2022-03-29T06:42:56.737Z,Upgrade to Silver Loyalty Tier,,,[  ],custom,Upgraded to Silver Loyalty Tier during Antavo+ Challenge,,_self,0,FALSE,1404,1404,55,2022-05-29T15:56:19.074Z,level_up,1,Upgraded to Silver Loyalty Tier during Antavo+ Challenge,2022-05-05T15:43:00.000Z,2022-05-29T15:59:00.000Z
6242d76edebd8b77890fb4e2,100,2022-03-29T09:54:54.406Z,100001233,2022-05-06T08:43:00.462Z,100001233,2022-03-30T07:48:04.008Z,Upgrade to Gold Loyalty Tier,,,[  ],custom,Upgraded to Gold Loyalty Tier during Antavo+ Challenge,,_self,0,FALSE,603,603,2,2022-05-29T15:20:20.697Z,level_up,1,Upgraded to Gold Loyalty Tier during Antavo+ Challenge,2022-05-05T15:42:00.000Z,2022-05-29T15:59:00.000Z
624409683f7d41816127e659,100,2022-03-30T07:40:24.006Z,100001233,2022-05-06T08:41:04.839Z,100001233,2022-03-30T07:47:51.714Z,Bought a Staples Piece,,,[  ],custom,Bought a Staples Piece during Antavo+ Challenge,,_self,0,FALSE,2911,2911,1,2022-05-29T15:58:13.770Z,checkout_item,1,Bought a Staples Piece during Antavo+ Challenge,2022-05-05T15:40:00.000Z,2022-05-29T15:59:00.000Z
624409cc3f7d41816127e65f,100,2022-03-30T07:42:04.211Z,100001233,2022-05-06T08:43:49.852Z,100001233,2022-03-30T07:49:00.939Z,Made 2 Friend Referrals,,,[  ],custom,Made 2 Friend Referrals during Antavo+ Challenge,,_self,0,FALSE,6,6,0,2022-05-27T03:19:34.142Z,referral_bonus,2,Made 2 Friend Referrals during Antavo+ Challenge,2022-05-05T15:43:00.000Z,2022-05-29T15:59:00.000Z
62440ac160ace45d990760bd,100,2022-03-30T07:46:09.231Z,100001233,2022-05-05T02:03:21.305Z,100001233,2022-03-30T07:48:42.901Z,Made 3 Transactions,,,[  ],custom,Made 3 Transactions during Antavo+ Challenge,,_self,0,FALSE,1,1,1,2022-03-30T10:30:14.508Z,checkout,3,Made 2 Transactions during Antavo+ Challenge,2022-03-01T15:45:00.000Z,2022-03-31T22:59:00.000Z
62440b123d9f9884723b8aa5,100,2022-03-30T07:47:30.942Z,100001233,2022-05-06T08:39:57.160Z,100001233,2022-03-30T07:47:39.450Z,Make a Retail Purchase,,,[  ],custom,Make a Retail Purchase during Antavo+ Challenge,,_self,0,FALSE,4402,4402,0,2022-05-29T13:53:37.782Z,checkout,1,Make a Retail Purchase during Antavo+ Challenge,2022-05-05T15:39:00.000Z,2022-05-29T15:59:00.000Z
